λ	cx	cy	ex	ey	kx
0,50	0,0041	0,0140	0,0093	0,0278	0,1110
0,51	0,0043	0,0144	0,0099	0,0286	0,1190
0,52	0,0046	0,0148	0,0105	0,0295	0,1270
0,53	0,0049	0,0151	0,0114	0,0303	0,1360
0,54	0,0052	0,0155	0,0121	0,0311	0,1450
0,55	0,0053	0,0158	0,0129	0,0320	0,1550
0,56	0,0058	0,0162	0,0137	0,0327	0,1640
0,57	0,0062	0,0165	0,0145	0,0335	0,1740
0,58	0,0065	0,0168	0,0154	0,0343	0,1840
0,59	0,0069	0,0171	0,0162	0.0350	0,1950
0,60	0,0072	0,0174	0,0171	0,0357	0,2060
0,61	0,0076	0,0177	0,0181	0,0364	0,2170
0,62	0,0079	0,0180	0,0190	0,0371	0,2280
0,63	0,0083	0,0182	0,0200	0,0377	0,2390
0,64	0,0087	0,0185	0,0209	0,0383	0,2510
0,65	0,0091	0,0187	0,0219	0,0384	0,2630
0,66	0,0094	0,0189	0,0229	0,0395	0,2750
0,67	0,0098	0,0191	0,0239	0,0400	0,2870
0,68	0,0102	0,0193	0,0250	0,0405	0,2990
0,69	0,0106	0,0195	0,0260	0,0409	0,3120
0,70	0,0110	0,0197	0,0270	0,0414	0,3240
0,71	0,0114	0,0198	0,0281	0,0418	0,3370
0,72	0,0118	0,0200	0,0291	0,0421	0,3490
0,73	0,0122	0,0201	0,0302	0,0424	0,3620
0,74	0,0126	0,0202	0,0312	0,0428	0,3750
0,75	0,0131	0,0203	0,0323	0,0431	0,3870
0,76	0,0135	0,0204	0,0334	0,0433	0,4000
0,77	0,0139	0,0205	0,0344	0,0435	0,4130
0,78	0,0143	0,0206	0,0355	0,0437	0,4250
0,79	0,0147	0,0206	0,0365	0,0439	0,4380
0,80	0,0151	0,0207	0,0375	0,0440	0,4500
0,81	0,0155	0,0207	0,0386	0,0441	0,4630
0,82	0,0159	0,0207	0,0396	0,0442	0,4750
0,83	0,0163	0,0207	0,0406	0,0442	0,4870
0,84	0,0167	0,0207	0,0416	0,0442	0,4990
0,85	0,0171	0,0207	0,0426	0,0442	0,5110
0,86	0,0175	0,0207	0,0435	0,0442	0,5220
0,87	0,0179	0,0207	0,0445	0,0441	0,5330
0,88	0,0183	0,0207	0,0454	0,0440	0,5450
0,89	0,0186	0,0206	0,0464	0,0439	0,5560
