λ	cx	cy	ex	ey	kx
0,90	0,0190	0,0206	0,0473	0,0438	0,5670
0,91	0,0194	0,0205	0,0482	0,0437	0,5780
0,92	0,0198	0,0205	0,0491	0,0435	0,5890
0,93	0,0202	0,0204	0,0500	0,0433	0,5990
0,94	0,0205	0,0203	0,0508	0,0431	0,6100
0,95	0,0209	0,0203	0,0516	0,0429	0,6200
0,96	0,0213	0,0202	0,0525	0,0427	0,6290
0,97	0,0216	0,0201	0,0532	0,0424	0,6390
0,98	0,0219	0,0200	0,0541	0,0422	0,6480
0,99	0,0223	0,0199	0,0548	0,0419	0,6580
1,00	0,0226	0,0197	0,0555	0,0417	0,6670
1,02	0,0233	0,0196	0,0570	0,0413	0,6840
1,04	0,0239	0,0193	0,0584	0,0405	0,7000
1,06	0,0246	0,0191	0,0597	0,0398	0,7160
1,08	0,0251	0,0188	0,0609	0,0392	0,7310
1,10	0,0258	0,0185	0,0621	0,0385	0,7450
1,12	0,0263	0,0182	0,0632	0,0378	0,7590
1,14	0,0268	0,0180	0,0643	0,0371	0,7720
1,16	0,0274	0,0177	0,0653	0,0364	0,7840
1,18	0,0279	0,0174	0,0663	0,0357	0,7950
1,20	0,0283	0,0171	0,0672	0,0350	0,8060
1,22	0,0288	0,0168	0,0680	0,0343	0,8160
1,24	0,0293	0,0165	0,0688	0,0336	0,8250
1,26	0,0297	0,0162	0,0695	0,0328	0,8340
1,28	0,0301	0,0159	0,0702	0,0322	0,8430
1,30	0,0305	0,0156	0,0709	0,0315	0,8510
1,32	0,0309	0,0153	0,0715	0,0308	0,8590
1,34	0,0312	0,0154	0,0721	0,0301	0,8660
1.36	0,0316	0,0148	0,0727	0,0295	0,8720
1,38	0,0319	0,0145	0,0733	0,0288	0,8790
1,40	0,0323	0,0142	0,0738	0,0282	0,8850
1,42	0,0326	0,0139	0,0742	0,0276	0,8900
1,44	0,0329	0,0136	0,0747	0,0270	0,8960
1,46	0,0331	0,0134	0,0751	0,0257	0,9010
1,48	0,0334	0,0131	0,0755	0,0258	0,9060
1,50	0,0337	0,0129	0,0759	0,0253	0,9100
1,52	0,0339	0,0126	0,0762	0,0247	0,9140
1,54	0,0341	0,0124	0,0765	0,0242	0,9180
1,56	0,0344	0,0121	0,0769	0,0237	0,9220
1,58	0,0346	0,0119	0,0772	0,0232	0,9260
1,60	0,0348	0,0117	0,0775	0,0227	0,9290
1,62	0,0350	0,0114	0,0777	0,0222	0,9320
1,64	0,0352	0,0112	0,0779	0,0217	0,9350
1,66	0,0354	0,0110	0,0782	0,0213	0,9380
1,68	0,0356	0,0108	0,0784	0,0208	0,9410
1,70	0,0358	0,0106	0,0786	0,0204	0,9430
1,72	0,0359	0,0104	0,0789	0,0200	0,9460
1,74	0,0361	0,0102	0,0791	0,0196	0,9480
1,76	0,0362	0,0100	0,0792	0,0192	0,9500
1,78	0,0364	0,0098	0,0794	0,0188	0,9520
1,80	0,0365	0,0096	0,0796	0,0184	0,9540
1,82	0,0367	0,0095	0,0797	0,0181	0,9560
1,84	0,0368	0,0093	0,0798	0,0177	0,9580
1,86	0,0369	0,0091	0,0800	0,0173	0,9600
1,88	0,0370	0,0090	0,0801	0,0170	0,9610
1,90	0,0372	0,0088	0,0803	0,0167	0,9630
1,92	0,0373	0,0086	0,0804	0,0164	0,9640
1,94	0,0374	0,0085	0,0805	0,0160	0,9660
1,96	0,0375	0,0083	0,0806	0,0157	0,9670
1,98	0,0376	0,0082	0,0807	0,0154	0,9680
2,00	0,0378	0,0080	0,0808	0,0152	0,9700
