λ	cx	cy	ex	ey	kx
1,00	0,0269	0,0269	0,0625	0,0625	0,5000
1,01	0,0275	0,0269	0,0637	0,0625	0,5100
1,02	0,0280	0,0269	0,0650	0,0625	0,5200
1,03	0,0285	0,0269	0,0662	0,0624	0,5290
1,04	0,0290	0,0269	0,0674	0,0623	0,5390
1,05	0,0296	0,0268	0,0686	0,0622	0,5490
1,06	0,0301	0,0268	0,0697	0,0621	0,5580
1,07	0,0306	0,0268	0,0709	0,0619	0,5670
1,08	0,0311	0,0267	0,0720	0,0618	0,5760
1,09	0,0317	0,0266	0,0731	0,0616	0,5850
1,10	0,0322	0,0266	0,0743	0,0614	0,5940
1,11	0,0327	0,0265	0,0754	0,0612	0,6030
1,12	0,0332	0,0264	0,0764	0,0609	0,6110
1,13	0,0337	0,0264	0,0775	0,0607	0,6200
1,14	0,0342	0,0263	0,0785	0,0604	0,6280
1,15	0,0347	0,0262	0,0796	0,0601	0,6360
1,16	0,0351	0,0261	0,0805	0,0598	0,6440
1,17	0,0356	0,0260	0,0815	0,0596	0,6520
1,18	0,0361	0,0259	0,0824	0,0592	0,6600
1,19	0,0366	0,0258	0,0834	0,0589	0,6670
1,20	0,0370	0,0257	0,0844	0,0586	0,6740
1,21	0,0375	0,0256	0,0852	0,0582	0,6820
1,22	0,0379	0,0255	0,0861	0,0579	0,6900
1,23	0,0384	0,0254	0,0870	0,0575	0,6960
1,24	0,0388	0,0253	0,0879	0,0571	0,7030
1,25	0,0393	0,0251	0,0886	0,0568	0,7090
1,26	0,0397	0,0257	0,0895	0,0564	0,7160
1,27	0,0401	0,0249	0,0903	0,0560	0,7220
1,28	0,0406	0,0248	0,0911	0,0556	0,7290
1,29	0,0410	0,0246	0,0918	0,0552	0,7350
1,30	0,0414	0,0245	0,0926	0,0548	0,7410
1,31	0,0418	0,0244	0,0933	0,0544	0,7460
1,32	0,0422	0,0242	0,0941	0,0540	0,7520
1,33	0,0426	0,0241	0,0947	0,0536	0,7580
1,34	0,0430	0,0239	0,0954	0,0531	0,7630
1,35	0,0434	0,0238	0,0961	0,0527	0,7690
1,36	0,0437	0,0237	0,0967	0,0523	0,7740
1,37	0,0441	0,0235	0,0974	0,0519	0,7790
1,38	0,0445	0,0234	0,0979	0,0517	0,7840
1,39	0,0449	0,0232	0,0986	0,0510	0,7890
1,40	0,0452	0,0231	0,0992	0,0506	0,7930
1,41	0,0456	0,0229	0,0998	0,0502	0,7980
1,42	0,0459	0,0228	0,1003	0,0498	0,8030
1,43	0,0462	0,0226	0,1009	0,0493	0,8070
1,44	0,0466	0,0225	0,1014	0,0489	0,8110
1,45	0,0469	0,0223	0,1019	0,0485	0,8750
1,46	0,0473	0,0222	0,1025	0,0481	0,8200
1,47	0,0476	0,0221	0,1030	0,0476	0,8240
1,48	0,0479	0,0219	0,1034	0,0472	0,8270
1,49	0,0482	0,0217	0,1040	0,0468	0,8310
1,50	0,0485	0,0216	0,1044	0,0464	0,8350
1,51	0,0488	0,0214	0,1048	0,0460	0,8390
1,52	0,0491	0,0213	0,1053	0,0456	0,8420
1,53	0,0494	0,0211	0,1057	0,0452	0,8460
1,54	0,0497	0,0210	0,1062	0,0448	0,8490
1,55	0,0500	0,0208	0,1065	0,0444	0,8520
1,56	0,0502	0,0207	0,1069	0,0439	0,8550
1,57	0,0505	0,0205	0,1073	0,0436	0,8590
1,58	0,0508	0,0204	0,1078	0,0432	0,8620
1,59	0,0511	0,0202	0,1081	0,0433	0,8650
1,60	0,0513	0,0201	0,1085	0,0424	0,8680
1,61	0,0516	0,0199	0,1088	0,0420	0,8700
1,62	0,0518	0,0198	0,1092	0,0416	0,8730
1,63	0,0521	0,0196	0,1095	0,0412	0,8760
1,64	0,0523	0,0195	0,1098	0,0408	0,8780
1,65	0,0526	0,0193	0,1101	0,0404	0,8810
1,66	0,0528	0,0192	0,1105	0,0401	0,8840
