λ	cx	cy	ex	ey	kx
1,67	0,0530	0,0190	0,1107	0,0397	0,8860
1,68	0,0533	0,0189	0,1111	0,0394	0,8880
1,69	0,0535	0,0187	0,1113	0,0390	0,8910
1,70	0,0537	0,0186	0,1116	0,0386	0,8930
1,71	0,0539	0,0184	0,1120	0,0383	0,8950
1,72	0,0541	0,0183	0,1122	0,0379	6,8970
1,73	0,0544	0,0182	0,1125	0,0376	0,8990
1,74	0,0546	0,0180	0,1127	0,0372	0,9020
1,75	0,0548	0,0179	0,1130	0,0369	0,9040
1,75	0,0548	0,0179	0,1130	0,0369	0,9040
1,76	0,0550	0,0177	0,1132	0,0365	0,9060
1,77	0,0552	0,0176	0,1135	0,0362	0,9070
1,78	0,0553	0,0175	0,1136	0,0359	0,9090
1,79	0,0555	0,0173	0,1139	0,0356	0,9110
1,80	0,0558	0,0172	0,1142	0,0352	0,9130
1,81	0,0559	0,0171	0,1144	0,0349	0,9150
1,82	0,0561	0,0169	0,1146	0,0346	0,9160
1,83	0,0562	0,0168	0,1148	0,0343	0,9180
1,84	0,0564	0,0167	0,1149	0,0340	0,9200
1,85	0,0566	0,0165	0,1152	0,0336	0,9210
1,86	0,0568	0,0164	0,1153	0,0333	0,9230
1,87	0,0569	0,0163	0,1156	0,0330	0,9240
1,88	0,0571	0,0162	0,1157	0,0327	0,9260
1,89	0,0573	0,0160	0,1159	0,0325	0,9270
1,90	0,0574	0,0159	0,1161	0,0322	0,9290
1,91	0,0576	0,0158	0,1163	0,0319	0,9300
1,92	0,0577	0,0157	0,1164	0,0316	0,9310
1,93	0,0579	0,0155	0,1166	0,0313	0,9330
1,94	0,0580	0,0154	0,1168	0,0310	0,9340
1,95	0,0582	0,0153	0,1170	0,0308	0,9350
1,96	0,0583	0,0152	0,1171	0,0305	0,9360
1,97	0,0585	0,0157	0,1172	0,0302	0,9380
1,98	0,0586	0,0150	0,1174	0,0299	0,9390
1,99	0,0587	0,0148	0,1175	0,0297	0,9410
2,00	0,0589	0,0147	0,1175	0,0294	0,9410
