λ	cx	cy	ex	kx
0,50	0,0071	0,0222	0,0169	0,1350
0,51	0,0075	0,0227	0,0181	0,1450
0,52	0,0080	0,0231	0,0193	0,1540
0,53	0,0084	0,0236	0,0206	0,1650
0,54	0,0089	0,0240	0,0219	0,1750
0,55	0,0093	0,0245	0,0233	0,1860
0,56	0,0098	0,0249	0,0247	0,1970
0,57	0,0103	0,0253	0,0261	0,2090
0,58	0,0107	0,0256	0,0276	0,2200
0,59	0,0112	0,0260	0,0292	0,2320
0,60	0,0117	0,0263	0,0297	0,2450
0,61	0,0122	0,0266	0,0321	0,2570
0,62	0,0127	0,0269	0,0337	0,2700
0,63	0,0132	0,0271	0,0353	0,2820
0,64	0,0137	0,0274	0,0369	0,2950
0,65	0,0143	0,0276	0,0386	0,3080
0,66	0,0148	0,0278	0,0402	0,3220
0,67	0,0153	0,0280	0,0419	0,3350
0,68	0,0158	0,0282	0,0435	0,3480
0,69	0,0164	0,0284	0,0452	0,3620
0,70	0,0169	0,0285	0,0469	0,3750
0,71	0,0174	0,0286	0,0486	0,3880
0,72	0,0180	0,0287	0,0502	0,4020
0,73	0,0185	0,0288	0,0519	0,4150
0,74	0,0191	0,0289	0,0536	0,4280
0,75	0,0196	0,0290	0,0552	0,4420
0,75	0,0196	0,0290	0,0552	0,4420
0,76	0,0202	0,0290	0,0569	0,4550
0,77	0,0207	0,0291	0,0585	0,4680
0,78	0,0213	0,0291	0,0601	0,4810
0,79	0,0218	0,0291	0,0617	0,4930
0,80	0,0224	0,0291	0,0633	0,5060
0,81	0,0230	0,0291	0,0648	0,5180
0,82	0,0235	0,0291	0,0663	0,5310
0,83	0,0241	0,0291	0,0678	0,5430
0,84	0,0246	0,0290	0,0693	0,5540
0,85	0,0252	0,0290	0,0708	0,5660
0,86	0,0258	0,0289	0,0722	0,5780
0,87	0,0263	0,0288	0,0737	0,5890
0,88	0,0269	0,0287	0,0750	0,6000
0,89	0,0274	0,0286	0,0773	0,6110
0,90	0,0280	0,0286	0,0776	0,6210
0,91	0,0285	0,0284	0,0789	0,6320
0,92	0,0291	0,0283	0,0802	0,6420
0,93	0,0297	0,0282	0,0814	0,6520
0,94	0,0302	0,0281	0,0826	0,6610
0,95	0,0307	0,0280	0,0838	0,6710
0,96	0,0313	0,0278	0,0850	0,6800
0,97	0,0318	0,0277	0,0861	0,6890
0,98	0,0323	0,0275	0,0872	0,6970
0,99	0,0329	0,0274	0,0883	0,7060
1,00	0,0334	0,0272	0,0893	0,7140
1,02	0,0345	0,0269	0,0912	0,7300
1,04	0,0355	0,0265	0,0932	0,7450
1,06	0,0365	0,0262	0,0950	0,7590
1,08	0,0375	0,0258	0,0966	0,7730
1,10	0,0384	0,0254	0,0982	0,7850
1,12	0,0394	0,0250	0,0997	0,7970
1,11	0,0403	0,0247	0,1011	0,8080
1,16	0,0412	0,0243	0,1024	0,8190
1,18	0,0420	0,0239	0,1036	0,8290
1,20	0,0429	0,0235	0,1058	0,8380
1,22	0,0437	0,0231	0,1059	0,8470
1,24	0,0445	0,0227	0,1070	0,8550
1,26	0,0452	0,0223	0,1079	0,8630
1,28	0,0460	0,0219	0,1088	0,8700
1,30	0,0467	0,0215	0,1097	0,8770
1,32	0,0474	0,0211	0,1105	0,8840
1,34	0,0480	0,0207	0,1112	0,8890
1,36	0,0487	0,0203	0,1120	0,8950
1,38	0,0493	0,0199	0,1126	0,9010
1,40	0,0499	0,0196	0,1133	0,9060
1,42	0,0505	0,0192	0,1138	0,9100
1,44	0,0511	0,0188	0,1144	0,9150
1,46	0,0516	0,0185	0,1149	0,9190
1,48	0,0521	0,0181	0,1153	0,9230
1,50	0,0526	0,0178	0,1159	0,9270
1,52	0,0531	0,0174	0,1163	0,9300
1,54	0,0535	0,0171	0,1168	0,9340
1,56	0,0540	0,0168	0,1171	0,9370
1,58	0,0544	0,0165	0,1175	0,9400
1,60	0,0549	0,0162	0,1178	0,9420
1,62	0,0553	0,0158	0,1182	0,9450
1,64	0,0557	0,0156	0,1185	0,9480
1,66	0,0560	0,0155	0,1188	0,9500
1,68	0,0564	0,0150	0,1191	0,9520
1,70	0,0567	0,0147	0,1193	0,9540
1,72	0,0571	0,0144	0,1196	0,9560
1,74	0,0574	0,0142	0,1198	0,9580
1,76	0,0577	0,0139	0,1199	0,9600
1,78	0,0581	0,0136	0,1202	0,9620
1,80	0,0583	0,0134	0,1205	0,9630
1,82	0,0586	0,0132	0,1206	0,9650
1,84	0,0589	0,0129	0,1208	0,9660
1,86	0,0591	0,0127	0,1209	0,9680
1,88	0,0594	0,0125	0,1211	0,9690
1,90	0,0596	0,0122	0,1214	0,9700
1,92	0,0599	0,0120	0,1215	0,9710
1,94	0,0601	0,0118	0,1215	0,9720
1,96	0,0604	0,0116	0,1216	0,9740
1,98	0,0606	0,0114	0,1218	0,9750
2,00	0,0608	0,0112	0,1220	0,9760
